Brand,Processor_brand,RAM_GB,RAM_type,Storage_capacity_GB,Graphics_brand,Display_size_inches
HP,AMD,8,DDR4,512,AMD,15.6
Lenovo,AMD,8,LPDDR5,512,AMD,15.6
HP,Intel,8,DDR4,512,Intel,15.6
Samsung,Intel,16,LPDDR5,512,Intel,13.3
Samsung,Intel,8,LPDDR4,512,Intel,15.6
Xiaomi,Intel,16,DDR5,1000,NVIDIA,16.1
Dell,Intel,8,DDR4,512,Intel,15.6
HP,Intel,16,DDR4,512,Intel,15.6
Asus,Intel,16,DDR4,512,Intel,15.6
Lenovo,AMD,8,DDR4,512,AMD,15.6
HP,AMD,16,DDR5,1000,NVIDIA,16.1
Apple,Apple,8,DDR4,256,Apple,13.3
Asus,Intel,16,DDR4,1000,NVIDIA,15.6
Lenovo,Intel,16,DDR5,512,NVIDIA,15.6
Apple,Apple,8,,256,Apple,13.6
Dell,AMD,8,DDR4,512,AMD,15.6
Asus,Intel,8,DDR4,512,NVIDIA,15.6
Lenovo,AMD,8,DDR4,512,AMD,15.6
Asus,AMD,8,DDR4,512,AMD,16
Apple,Apple,8,DDR4,256,Apple,13.6
Samsung,Intel,16,LPDDR4X,512,Intel,15.6
HP,Intel,8,DDR4,512,Intel,14
Samsung,Intel,32,LPDDR5X,1000,NVIDIA,16
Asus,Intel,8,DDR4,512,Intel,15.6
Lenovo,AMD,8,DDR4,512,AMD,15.6
Acer,Intel,16,DDR5,1000,NVIDIA,16
HP,AMD,8,DDR4,512,NVIDIA,16.1
HP,Intel,16,DDR4,512,NVIDIA,16.1
Dell,Intel,16,DDR5,1000,NVIDIA,15.6
Asus,AMD,16,LPDDR5,512,NVIDIA,13.4
Asus,Intel,16,DDR4,512,NVIDIA,15.6
Dell,Intel,16,DDR5,512,Intel,14
Lenovo,Intel,16,LPDDR5,1000,Intel,16
MSI,Intel,16,DDR5,1000,NVIDIA,15.6
Asus,AMD,16,LPDDR5,1000,NVIDIA,13.4
Asus,Intel,16,DDR4,512,NVIDIA,15.6
Asus,AMD,16,DDR4,512,AMD,16
Samsung,Intel,16,LPDDR5,512,Intel,13.3
HP,Intel,16,LPDDR5,512,Intel,14
HP,Intel,16,DDR5,1000,NVIDIA,16.1
Dell,Intel,16,DDR5,1000,NVIDIA,15.6
Lenovo,Intel,16,LPDDR5,512,Intel,14
Lenovo,Intel,8,DDR4,512,Intel,15.6
HP,Intel,8,DDR4,512,Intel,15.6
Acer,Intel,16,DDR4,512,NVIDIA,15.6
Asus,Intel,16,DDR4,512,NVIDIA,16
HP,AMD,4,DDR4,256,AMD,15.6
MSI,AMD,16,DDR4,512,AMD,14
Dell,Intel,8,DDR4,512,Intel,15.6
Asus,Intel,8,DDR4,512,Intel,15.6
Lenovo,Intel,16,LPDDR5,512,Intel,14
HP,AMD,16,LPDDR5,512,AMD,14
HP,Intel,8,DDR4,512,Intel,15.6
Asus,Intel,16,LPDDR5,1000,Intel,15.6
Honor,Intel,16,LPDDR4X,512,Intel,16
Lenovo,AMD,8,DDR4,512,AMD,15.6
HP,Intel,16,DDR4,512,NVIDIA,15.6
Acer,Intel,16,DDR5,512,NVIDIA,15.6
HP,AMD,16,DDR5,512,NVIDIA,16.1
MSI,Intel,16,DDR4,1256,NVIDIA,15.6
Asus,Intel,4,DDR4,256,Intel,15.6
Lenovo,AMD,16,DDR5,512,NVIDIA,15.6
Asus,Intel,16,DDR4,512,NVIDIA,15.6
HP,Intel,16,DDR4,512,NVIDIA,15.6
HP,AMD,8,DDR4,512,AMD,15.6
Samsung,Intel,16,LPDDR4,512,Intel,15.6
Apple,Apple,8,DDR4,512,Apple,15.3
Lenovo,AMD,16,DDR4,512,NVIDIA,15.6
Lenovo,Intel,16,LPDDR5,1000,Intel,14
Asus,Intel,32,DDR5,2000,NVIDIA,16
HP,AMD,16,DDR4,1000,AMD,15.6
Acer,Intel,16,DDR4,512,Intel,15.6
MSI,Intel,32,DDR5,2000,NVIDIA,18
Samsung,Intel,16,LPDDR5X,512,Intel,16
Xiaomi,Intel,16,LPDDR5,512,Intel,16
Apple,Apple,48,,1000,Apple,16.2
Acer,Intel,8,DDR4,512,Intel,15.6
Asus,Intel,8,DDR4,512,NVIDIA,15.6
HP,AMD,16,DDR4,512,AMD,15.6
Acer,AMD,16,DDR4,512,AMD,15.6
HP,Intel,16,DDR5,512,NVIDIA,16.1
Asus,Intel,16,DDR4,512,Intel,15.6
Dell,Intel,8,DDR4,512,Intel,14
Acer,Intel,16,DDR4,512,NVIDIA,15.6
Asus,AMD,16,DDR5,512,NVIDIA,15.6
HP,Intel,32,LPDDR5,1000,Intel,14
Asus,Intel,16,DDR5,1000,NVIDIA,16
HP,AMD,16,DDR5,1000,NVIDIA,16.1
Acer,AMD,16,DDR5,512,NVIDIA,15.6
HP,AMD,8,DDR4,512,AMD,15.6
Dell,Intel,8,DDR4,512,Intel,14
Lenovo,Intel,16,LPDDR5,512,Intel,15.6
Apple,Apple,8,DDR4,256,Apple,15.3
Samsung,Intel,8,LPDDR4X,512,Intel,15.6
MSI,Intel,32,DDR5,1000,NVIDIA,16
Lenovo,Intel,8,DDR4,512,Intel,15.6
Acer,Intel,16,DDR4,512,Intel,15.6
HP,Intel,16,LPDDR5,1000,NVIDIA,15.6
Lenovo,Intel,8,DDR4,512,Intel,14
Lenovo,Intel,16,LPDDR5,1000,Intel,14
HP,Intel,16,LPDDR5X,1000,NVIDIA,14
HP,AMD,32,DDR5,1000,NVIDIA,16
HP,Intel,8,DDR4,512,NVIDIA,15.6
Lenovo,Intel,16,LPDDR5,512,Intel,15.6
Lenovo,Intel,32,DDR5,1000,NVIDIA,16
Lenovo,AMD,16,DDR4,512,NVIDIA,15.6
HP,Intel,16,DDR4,1000,NVIDIA,15.6
Apple,Apple,18,,512,Apple,14.2
Dell,Intel,16,DDR4,512,Intel,15.6
HP,Intel,8,DDR4,512,Intel,15.6
MSI,AMD,8,DDR5,512,AMD,15.6
Asus,Intel,8,DDR4,256,Intel,15.6
Asus,Intel,16,DDR4,512,NVIDIA,15.6
MSI,Intel,8,DDR4,512,NVIDIA,15.6
HP,Intel,16,DDR4,512,NVIDIA,16.1
Asus,Intel,16,DDR4,512,Intel,15.6
HP,AMD,16,DDR4,512,NVIDIA,15.6
Dell,Intel,16,DDR5,512,NVIDIA,15.6
HP,Intel,8,DDR4,512,Intel,15.6
HP,Intel,16,DDR4,512,NVIDIA,15.6
Asus,Intel,16,DDR4,512,Intel,14
HP,AMD,8,DDR4,512,AMD,15.6
HP,Intel,16,DDR4,1000,Intel,14
MSI,Intel,64,DDR5,2000,NVIDIA,17.3
Dell,Intel,16,DDR5,1000,NVIDIA,15.6
Acer,Intel,16,DDR4,512,NVIDIA,15.6
Apple,Apple,8,Unified,512,Apple,13.6
Asus,Intel,16,DDR4,512,Intel,14
Samsung,Intel,8,LPDDR4,512,Intel,15.6
Dell,Intel,16,DDR4,512,NVIDIA,15.6
Asus,Intel,16,DDR4,512,Intel,15.6
MSI,AMD,16,DDR5,1000,NVIDIA,17.3
Lenovo,Intel,32,DDR5,1000,NVIDIA,16
Samsung,Intel,16,LPDDR4X,512,Intel,15.6
Xiaomi,Intel,32,LPDDR5X,1000,Intel,16
Xiaomi,Intel,16,LPDDR5X,512,Intel,14
Lenovo,Intel,64,DDR5,2000,NVIDIA,16
HP,Intel,16,LPDDR5X,512,Intel,14
Lenovo,AMD,32,LPDDR5X,512,AMD,14
HP,AMD,16,LPDDR5,512,AMD,14
HP,AMD,16,DDR4,1000,AMD,15.6
Lenovo,Intel,16,LPDDR5,512,Intel,15.6
Lenovo,AMD,8,LPDDR5,512,AMD,15.6
HP,Intel,16,LPDDR5,512,Intel,14
Asus,Intel,16,LPDDR5X,512,Intel,14
Lenovo,AMD,8,DDR4,512,AMD,15.6
Lenovo,AMD,16,DDR5,512,NVIDIA,15.6
Lenovo,AMD,8,LPDDR5,512,AMD,15.6
Apple,Apple,8,,512,Apple,14.2
Acer,AMD,16,DDR4,1000,AMD,15.6
HP,AMD,8,DDR5,512,NVIDIA,15.6
Asus,Intel,16,DDR4,512,Intel,16
Dell,Intel,16,DDR4,512,Intel,15.6
HP,Intel,8,DDR4,512,Intel,15.6
HP,Intel,16,DDR4,1000,NVIDIA,15.6
HP,AMD,16,DDR5,1000,NVIDIA,16.1
HP,Intel,16,DDR4,512,NVIDIA,15.6
Lenovo,AMD,16,DDR5,512,NVIDIA,15.6
HP,Intel,16,DDR5,1000,NVIDIA,16.1
Asus,Intel,16,,512,Intel,14
Asus,Intel,16,DDR4,1000,NVIDIA,16
HP,Intel,16,DDR4,512,Intel,14
Asus,Intel,16,DDR4,512,NVIDIA,15.6
Dell,Intel,16,LPDDR5,512,Intel,16
Acer,Intel,8,DDR4,512,Intel,15.6
Lenovo,Intel,8,DDR4,512,Intel,14
Asus,AMD,16,DDR4,512,AMD,15.6
HP,Intel,16,DDR4,512,Intel,15.6
Asus,Intel,16,DDR5,512,NVIDIA,16
Acer,AMD,8,LPDDR5,512,AMD,15.6
HP,Intel,32,DDR5,2000,NVIDIA,17.3
HP,Intel,8,DDR4,512,Intel,15.6
Dell,AMD,16,DDR5,512,NVIDIA,15.6
Dell,Intel,16,DDR5,512,NVIDIA,15.6
HP,Intel,16,DDR4,512,Intel,15.6
Samsung,Qualcomm,32,LPDDR5X,1000,Intel,16
Lenovo,Intel,16,DDR4,512,Intel,14
Lenovo,Intel,8,DDR4,512,Intel,14
Asus,Intel,16,DDR4,512,Intel,15.6
Lenovo,Intel,8,DDR4,512,Intel,14
HP,Intel,16,DDR4,512,NVIDIA,15.6
MSI,Intel,16,DDR5,1000,NVIDIA,15.6
MSI,Intel,32,DDR5,2000,NVIDIA,17
Apple,Apple,8,,512,Apple,13.6
Apple,Apple,16,,512,Apple,15.3
HP,Intel,16,DDR5,1000,NVIDIA,16.1
Samsung,Intel,16,LPDDR5,1000,Intel,15.6
Samsung,Intel,16,LPDDR5X,512,Intel,16
Samsung,Intel,16,LPDDR5,512,Intel,15.6
Dell,Intel,16,DDR4,512,Intel,16
MSI,Intel,32,LPDDR5,1000,NVIDIA,16
Asus,Intel,32,LPDDR5X,1000,Intel,13.3
MSI,Intel,16,LPDDR5,1000,Intel,16
Samsung,Intel,32,LPDDR5X,1000,Intel,14
Samsung,Intel,16,LPDDR5X,512,Intel,16
Asus,Intel,16,LPDDR5X,1000,Intel,13.3
HP,Intel,16,LPDDR5,512,Intel,14
Asus,Intel,8,DDR4,256,Intel,15.6
HP,Intel,16,DDR4,512,Intel,15.6
Asus,Intel,16,LPDDR5X,1000,Intel,14
HP,Intel,8,DDR4,512,Intel,14
Acer,Intel,16,DDR4,1000,Intel,15.6
Lenovo,Intel,16,LPDDR5,512,Intel,15.6
Lenovo,Intel,16,DDR5,512,NVIDIA,15.6
Asus,Intel,8,DDR4,512,NVIDIA,17
HP,AMD,8,DDR4,512,AMD,14
Xiaomi,Intel,16,LPDDR5,512,Intel,14
Samsung,Intel,16,LPDDR5,512,Intel,13.3
HP,Intel,16,DDR4,512,Intel,15.6
HP,AMD,16,DDR5,1000,NVIDIA,16.1
HP,Intel,8,DDR4,512,Intel,15.6
HP,AMD,16,DDR5,1000,NVIDIA,16.1
Acer,AMD,8,LPDDR5,512,AMD,15.6
Asus,Intel,8,DDR4,128,Intel,11.6
HP,Intel,8,DDR4,512,Intel,15.6
Acer,Intel,16,DDR4,512,NVIDIA,15.6
Asus,AMD,16,DDR5,512,NVIDIA,17.3
HP,Intel,8,DDR4,512,NVIDIA,15.6
Lenovo,AMD,16,DDR5,1000,AMD,14
HP,AMD,8,DDR5,512,NVIDIA,15.6
HP,Intel,8,DDR4,512,Intel,15.6
Acer,AMD,8,DDR4,512,AMD,14
Asus,Intel,16,DDR5,1000,NVIDIA,15.6
HP,Intel,16,DDR4,1000,Intel,15.6
MSI,Intel,16,DDR5,1000,NVIDIA,17.3
MSI,Intel,16,DDR4,512,NVIDIA,15.6
MSI,Intel,16,DDR4,512,NVIDIA,15.6
Lenovo,Intel,16,DDR5,512,NVIDIA,15.6
HP,AMD,16,DDR5,512,NVIDIA,16
Asus,Intel,16,DDR5,512,NVIDIA,17.3
Asus,Intel,16,DDR4,1000,NVIDIA,14
Asus,AMD,16,DDR5,512,NVIDIA,14
Asus,Intel,16,DDR4,512,NVIDIA,16
MSI,Intel,16,DDR4,512,NVIDIA,15.6
Lenovo,AMD,8,DDR4,512,AMD,15.6
Apple,Apple,8,DDR4,512,Apple,15.3
Dell,Intel,16,DDR4,512,Intel,15.6
HP,Intel,16,DDR4,512,Intel,15.6
HP,Intel,16,DDR4,512,Intel,15.6
ASUS,AMD,16,DDR5,1000,AMD,15.6
Asus,Intel,16,DDR5,512,NVIDIA,15.6
MSI,Intel,16,DDR4,1256,NVIDIA,15.6
Asus,Intel,16,DDR4,512,NVIDIA,14
Acer,Intel,16,DDR5,512,NVIDIA,16
Asus,Intel,16,DDR4,512,Intel,15.6
Apple,Apple,8,DDR4,256,Apple,15.3
HP,Intel,8,DDR4,512,Intel,14
MSI,AMD,8,DDR4,512,AMD,14
MSI,Intel,8,DDR4,512,Intel,14
Asus,AMD,8,LPDDR5,512,AMD,15.6
Samsung,Intel,8,LPDDR4X,512,Intel,15.6
Samsung,Intel,16,LPDDR4X,512,Intel,15.6
HP,AMD,16,DDR4,512,NVIDIA,15.6
Samsung,Intel,16,LPDDR4X,512,Intel,15.6
Dell,Intel,8,DDR4,512,Intel,15.6
Asus,Intel,8,DDR4,512,Intel,15.6
HP,AMD,8,DDR4,512,NVIDIA,15.6
HP,Intel,4,LPDDR4,64,Intel,14
Lenovo,AMD,8,DDR4,256,AMD,14
Dell,AMD,8,DDR4,512,AMD,15.6
HP,AMD,8,DDR4,512,NVIDIA,15.6
Asus,Intel,16,DDR5,1000,NVIDIA,15.6
Lenovo,Intel,16,DDR4,512,Intel,15.6
HP,Intel,8,DDR4,1256,Intel,15.6
Dell,AMD,8,DDR4,512,AMD,15.6
HP,AMD,8,DDR4,512,NVIDIA,15.6
Asus,AMD,16,DDR5,512,NVIDIA,15.6
Apple,Apple,8,,256,Apple,13.3
Dell,Intel,8,DDR4,512,Intel,14
HP,Intel,32,LPDDR4X,1000,Intel,13.5
HP,Intel,16,LPDDR5X,1000,NVIDIA,14
HP,Intel,16,LPDDR5,512,NVIDIA,15.6
Lenovo,Intel,8,DDR4,512,Intel,16
HP,AMD,8,LPDDR5,512,AMD,15.6
Honor,Intel,16,LPDDRX4,512,Intel,14
MSI,Intel,32,DDR5,1000,NVIDIA,15.6
MSI,Intel,16,DDR5,1000,NVIDIA,15.6
MSI,Intel,16,DDR5,1000,NVIDIA,15.6
MSI,Intel,32,DDR5,2000,NVIDIA,16
MSI,Intel,32,LPDDR5,1000,NVIDIA,16
Samsung,Intel,16,LPDDR5,512,Intel,15.6
Samsung,Intel,16,LPDDR5X,1000,Intel,16
MSI,Intel,16,LPDDR5,1000,Intel,13.3
MSI,Intel,32,LPDDR5,1000,NVIDIA,16
Samsung,Intel,16,LPDDR5X,512,Intel,14
Samsung,Intel,16,LPDDR5X,512,Intel,14
Samsung,Intel,16,LPDDR5X,512,Intel,16
Samsung,Intel,32,LPDDR5X,1000,Intel,16
Lenovo,AMD,16,DDR4,512,AMD,14
Asus,Intel,32,DDR5,2000,NVIDIA,16
HP,AMD,16,DDR4,1000,AMD,15.6
Acer,Intel,16,LPDDR5X,512,Intel,14
HP,Intel,32,LPDDR5X,1000,NVIDIA,16
HP,AMD,16,DDR5,1000,NVIDIA,16.1
Dell,Intel,16,DDR5,1000,NVIDIA,15.6
Lenovo,Intel,16,DDR5,512,NVIDIA,15.6
Lenovo,Intel,8,DDR5,512,Intel,14
HP,Intel,8,DDR4,512,Intel,15.6
Lenovo,Intel,8,DDR5,512,Intel,15.6
Lenovo,AMD,16,DDR4,512,AMD,15.6
HP,Intel,32,LPDDR5X,2000,Intel,16
HP,Intel,16,DDR4,512,Intel,15.6
HP,Intel,16,DDR5,1000,NVIDIA,16.1
Asus,Intel,16,DDR4,512,Intel,14
Lenovo,Intel,16,LPDDR5,512,Intel,15.6
Dell,Intel,16,DDR5,1000,NVIDIA,15.6
Dell,Intel,16,DDR5,1000,NVIDIA,16
Lenovo,Intel,16,LPDDR5,512,Intel,15.6
Lenovo,AMD,16,DDR4,512,AMD,15.6
Acer,Intel,8,LPDDR5,512,Intel,15.6
Lenovo,Intel,16,LPDDR5,1000,Intel,16
Dell,Intel,8,LPDDR5,512,Intel,14
Lenovo,Intel,16,LPDDR5,1000,Intel,14
Lenovo,Intel,16,LPDDR5,1000,Intel,14
Acer,Intel,8,LPDDR5,512,Intel,15.6
Acer,Intel,16,DDR4,512,Intel,15.6
Apple,Apple,18,,512,Apple,16.2
Apple,Apple,8,,1000,Apple,14.2
Apple,Apple,36,,1000,Apple,14.2
Apple,Apple,18,,1000,Apple,14.2
Asus,Intel,8,LPDDR4X,128,Intel,15.6
Lenovo,AMD,8,DDR5,512,NVIDIA,15.6
Dell,Intel,8,DDR4,512,Intel,15.6
Lenovo,AMD,8,DDR4,512,NVIDIA,15.6
HP,Intel,16,DDR4,512,NVIDIA,15.6
Microsoft,Intel,8,LPDDR5,256,Intel,12.4
HP,Intel,8,DDR4,512,NVIDIA,15.6
HP,AMD,16,DDR4,512,AMD,15.6
Asus,AMD,16,DDR4,1000,NVIDIA,15.6
Asus,AMD,16,LPDDR5,512,AMD,14
Asus,Intel,16,DDR4,512,Intel,16
MSI,Intel,16,DDR4,512,NVIDIA,15.6
Lenovo,AMD,16,DDR5,1000,NVIDIA,16
Lenovo,AMD,8,LPDDR5,512,AMD,15.6
Asus,Intel,16,DDR4,512,NVIDIA,16
Asus,Intel,16,DDR4,512,NVIDIA,16
Lenovo,AMD,8,DDR4,512,NVIDIA,15.6
Lenovo,Intel,16,LPDDR5,1000,Intel,14
Asus,Intel,8,DDR4,256,Intel,14
HP,Intel,32,DDR5,1000,NVIDIA,17.3
Lenovo,AMD,8,DDR4,512,NVIDIA,15.6
Acer,Intel,8,DDR4,256,Intel,11.6
Asus,Intel,8,DDR5,512,NVIDIA,17.3
Lenovo,Intel,16,LPDDR5X,1000,Intel,14
Acer,Intel,8,DDR4,128,Intel,11.6
HP,Intel,8,DDR4,512,Intel,15.6
Lenovo,Intel,16,DDR5,1000,NVIDIA,16
HP,Intel,16,DDR4,1000,Intel,14
Acer,Intel,16,DDR4,1000,Intel,14
Lenovo,AMD,8,DDR4,512,NVIDIA,15.6
MSI,AMD,16,DDR5,512,AMD,15.6
HP,Intel,8,DDR4,512,Intel,14
Asus,Intel,16,DDR4,1000,Intel,16
Asus,AMD,16,DDR4,1000,AMD,14
Lenovo,AMD,16,DDR4,512,NVIDIA,15.6
Lenovo,AMD,8,DDR4,512,NVIDIA,15.6
Dell,Intel,8,DDR4,512,Intel,15.6
Dell,Intel,8,DDR4,512,Intel,15.6
Asus,Intel,16,DDR5,1000,NVIDIA,16
Dell,AMD,8,DDR4,512,AMD,15.6
HP,AMD,8,DDR4,512,AMD,15.6
HP,Intel,16,DDR4,512,NVIDIA,15.6
Asus,Intel,16,DDR4,512,Intel,15.6
HP,Intel,16,DDR4,1000,Intel,15.6
HP,Intel,8,DDR4,512,Intel,15.6
Asus,AMD,16,LPDDR5,512,NVIDIA,15.6
Lenovo,Intel,16,LPDDR5,512,Intel,16
HP,AMD,8,DDR4,512,AMD,15.6
HP,AMD,16,DDR4,512,AMD,15.6
Lenovo,Intel,16,LPDDR5,512,Intel,14
Lenovo,AMD,16,LPDDR5,512,AMD,15.6
Asus,AMD,8,LPDDR5,512,AMD,14
HP,AMD,8,DDR4,512,AMD,15.6
Dell,Intel,16,LPDDR5,1000,Intel,14
HP,AMD,8,DDR5,512,NVIDIA,15.6
Lenovo,Intel,16,LPDDR5,1000,Intel,14
MSI,Intel,16,DDR4,512,Intel,14
MSI,Intel,32,DDR5,2000,NVIDIA,16
Dell,Intel,8,DDR4,512,Intel,14
Dell,AMD,8,LPDDR5,1000,AMD,15.6
Dell,Intel,8,DDR4,512,Intel,14
HP,Intel,16,DDR4,512,NVIDIA,15.6
Asus,Intel,8,DDR4,512,Intel,14
HP,Intel,16,DDR5,512,NVIDIA,16.1
Lenovo,AMD,16,LPDDR5,512,AMD,15.6
Asus,AMD,16,DDR4,512,NVIDIA,15.6
Asus,Intel,8,DDR4,512,Intel,15.6
HP,Intel,8,DDR4,512,Intel,15.6
Lenovo,Intel,16,DDR5,512,NVIDIA,15.6
HP,Intel,16,DDR4,512,Intel,14
Lenovo,Intel,16,DDR5,512,NVIDIA,15.6
Lenovo,AMD,16,DDR5,512,NVIDIA,15.6
HP,Intel,16,DDR5,512,NVIDIA,16.1
Lenovo,Intel,32,DDR5,1000,NVIDIA,16
MSI,Intel,16,DDR4,512,Intel,15.6
Acer,AMD,8,DDR5,512,NVIDIA,16
Acer,AMD,16,DDR5,512,NVIDIA,16
Asus,Intel,16,DDR4,512,Intel,15.6
Dell,Intel,16,LPDDR5,1000,Intel,14
Asus,Intel,16,DDR4,512,NVIDIA,16
Lenovo,AMD,8,DDR4,512,AMD,15.6
Lenovo,AMD,8,DDR4,512,NVIDIA,15.6
MSI,Intel,8,DDR4,512,NVIDIA,15.6
Asus,Intel,16,DDR4,512,Intel,15.6
Asus,Intel,16,DDR4,512,NVIDIA,14
HP,Intel,16,DDR4,512,Intel,15.6
Asus,Intel,8,DDR4,512,Intel,15.6
HP,Intel,8,DDR4,512,Intel,14
Lenovo,AMD,8,DDR4,512,AMD,15.6
Asus,Intel,8,DDR4,512,NVIDIA,16
Asus,Intel,8,DDR5,512,NVIDIA,15.6
Dell,Intel,16,DDR4,512,NVIDIA,16
HP,Intel,16,DDR4,512,Intel,15.6
Dell,Intel,32,DDR5,1000,NVIDIA,17
Lenovo,Intel,8,DDR4,512,Intel,15.6
MSI,Intel,16,DDR4,512,Intel,14
HP,AMD,16,DDR4,512,AMD,15.6
Asus,AMD,8,DDR4,512,NVIDIA,15.6
Lenovo,Intel,8,DDR4,512,Intel,14
Dell,Intel,16,DDR5,1000,NVIDIA,16
HP,Intel,16,DDR5,1000,NVIDIA,17.3
Dell,Intel,8,DDR4,512,Intel,15.6
Lenovo,Intel,32,DDR5,1000,NVIDIA,16
HP,AMD,16,DDR4,512,AMD,15.6
HP,Intel,16,DDR4,512,NVIDIA,15.6
HP,AMD,8,DDR4,512,NVIDIA,15.6
Asus,Intel,16,DDR4,512,Intel,14
Dell,Intel,16,DDR5,512,NVIDIA,15.6
Dell,Intel,16,DDR5,1000,NVIDIA,16
Xiaomi,Intel,16,DDR5,512,Intel,14
Asus,Intel,8,DDR4,512,Intel,15.6
HP,Intel,16,DDR4,512,Intel,14
Asus,Intel,16,DDR4,512,NVIDIA,15.6
Asus,Intel,16,DDR4,512,NVIDIA,16
Acer,Intel,8,DDR4,512,NVIDIA,14
Asus,Intel,16,DDR4,1000,NVIDIA,15.6
Asus,AMD,16,LPDDR5,1000,NVIDIA,13.4
Asus,AMD,16,DDR5,1000,NVIDIA,14
Asus,Intel,16,DDR5,1000,NVIDIA,16
Asus,Intel,16,DDR5,1000,NVIDIA,16
Asus,Intel,8,DDR4,512,Intel,15.6
HP,Intel,16,DDR4,512,Intel,15.6
HP,Intel,16,DDR4,512,Intel,15.6
Asus,Intel,16,DDR4,1000,NVIDIA,16
Asus,Intel,16,LPDDR5,1000,NVIDIA,14.5
HP,AMD,8,DDR4,512,AMD,15.6
Asus,Intel,16,DDR4,512,NVIDIA,16
Asus,Intel,8,DDR4,512,NVIDIA,17.3
Acer,Intel,8,DDR4,512,Intel,14
HP,AMD,16,LPDDR5,512,AMD,15.6
HP,Intel,16,DDR4,1000,Intel,15.6
HP,Intel,8,DDR4,512,Intel,15.6
HP,AMD,8,DDR4,512,NVIDIA,15.6
Acer,Intel,16,DDR5,512,NVIDIA,16
Dell,AMD,8,DDR4,512,AMD,14
MSI,Intel,8,DDR5,512,NVIDIA,15.6
HP,AMD,8,LPDDR5,512,AMD,15.6
HP,Intel,16,DDR4,512,NVIDIA,15.6
Asus,Intel,16,LPDDR5,512,Intel,14
Asus,Intel,16,LPDDR5,1000,Intel,15.6
Asus,Intel,16,DDR4,512,Intel,15.6
Asus,AMD,8,DDR4,512,AMD,14
Lenovo,Intel,8,DDR4,256,Intel,15.6
Acer,Intel,8,DDR4,512,Intel,14
